id,name,address,searchAddress,source
good-price-khzgia,성서옷수선,충청북도 충주시 성서1길63,충청북도 충주시 성서1길63,착한가격업소
good-price-49e6ho,사랑이용원,충청북도 충주시 연원5길 59 (연수동),충청북도 충주시 연원5길 59,착한가격업소
good-price-435bs1,안남식당,충청북도 옥천군 올갱이국,충청북도 옥천군 올갱이국,착한가격업소
good-price-slf0ax,오천년코다리,충청북도 옥천군 코다리조림 (1인),충청북도 옥천군 코다리조림 (1인),착한가격업소
good-price-1g2cdyu,옥천 칠성순대집,충청북도 옥천군 순대국밥,충청북도 옥천군 순대국밥,착한가격업소
good-price-60dqpn,이원사회적협동조합 이원주민쉼터 내일로,충청북도 옥천군 아메리카노,충청북도 옥천군 아메리카노,착한가격업소
good-price-1m1aln7,조일이용원,충청북도 옥천군 조발 (커트),충청북도 옥천군 조발 (커트),착한가격업소
good-price-1l28f5z,주현갈비,충청북도 옥천군 갈비,충청북도 옥천군 갈비,착한가격업소
good-price-1xdhz53,행복정육식당,충청북도 옥천군 한우국밥,충청북도 옥천군 한우국밥,착한가격업소
good-price-5z3auh,동네밥집,충청북도 진천군 광혜원면 화랑6길 8,충청북도 진천군 광혜원면 화랑6길 8,착한가격업소
good-price-1erwjw4,엄마손밥상,충청북도 음성군 금왕읍 금석로 65-4,충청북도 음성군 금왕읍 금석로 65-4,착한가격업소
good-price-17h8a0,깨돌이김밥,"충청남도 천안시 서북구 각원사길 52, 104호 (안서동)",충청남도 천안시 서북구 각원사길 52,착한가격업소
good-price-1rftpwv,굿맨컷,충청남도 아산시 시민로 370-1,충청남도 아산시 시민로 370-1,착한가격업소
good-price-gfr7qw,설화수미용실,충청남도 논산시 492번길 9-9,충청남도 논산시 492번길 9-9,착한가격업소
good-price-lvz5pv,퓨전횟집 미다원,충청남도 당진시 석문면 석문해안ㄹ19-11 (1층),충청남도 당진시 석문면 석문해안ㄹ19-11 (1층),착한가격업소
good-price-15lsnh8,모시원,충청남도 서천군 한산면 한산모시길338번길 21,충청남도 서천군 한산면 한산모시길338번길 21,착한가격업소
good-price-q8a1i3,청양농부방앗간,충청남도 청양군 청양읍 칠깁산로 4길 25-3,충청남도 청양군 청양읍 칠깁산로 4길 25-3,착한가격업소
good-price-1tsd46t,갯마을식탁,충청남도 태안군 원북면 원이로 8081층,충청남도 태안군 원북면 원이로 8081층,착한가격업소
good-price-1s7zypy,한솥밥뚝배기,전북특별자치도 정읍시 중앙로 2,전북특별자치도 정읍시 중앙로 2,착한가격업소
good-price-1lwh4r1,최민자국밥,전북특별자치도 정읍시 칠보면 중앙로 109,전북특별자치도 정읍시 칠보면 중앙로 109,착한가격업소
good-price-149kjsa,온고을,전북특별자치도 장수군 계남면 음천길 40-27,전북특별자치도 장수군 계남면 음천길 40-27,착한가격업소
good-price-g83tsi,한성자헤어뱅크,전북특별자치도 김제시 동서9길 54 (요촌동),전북특별자치도 김제시 동서9길 54,착한가격업소
good-price-92mlet,아랫이용원,전북특별자치도 임실군 전주시 임실군 신평면 석등슬치로 355,전북특별자치도 임실군 전주시 임실군 신평면 석등슬치로 355,착한가격업소
good-price-md239b,소문난해장국,전북특별자치도 부안군 부안읍 동중2길 27-1,전북특별자치도 부안군 부안읍 동중2길 27-1,착한가격업소
good-price-klvlbc,동원반점,전북특별자치도 부안군 하서면 신지길 30-2,전북특별자치도 부안군 하서면 신지길 30-2,착한가격업소
good-price-pp6i81,진서젓갈,전북특별자치도 부안군 진서면 진서리 1215-70,전북특별자치도 부안군 진서면 진서리 1215-70,착한가격업소
good-price-1vds5y7,매안정,전라남도 순천시 매안1길 15-3,전라남도 순천시 매안1길 15-3,착한가격업소
good-price-t2y4ub,광양정통기정,전라남도 광양시 중마용도 3길 60,전라남도 광양시 중마용도 3길 60,착한가격업소
good-price-dred4u,송죽미용실,경상북도 포항시 남구 중앙로 28-1,경상북도 포항시 남구 중앙로 28-1,착한가격업소
good-price-1h2ybje,수기�,경상북도 포항시 북구 삼호로 394 (환호동) 수기�,경상북도 포항시 북구 삼호로 394 수기�,착한가격업소
good-price-dy221k,쎄쎄,"경상북도 포항시 북구 양학로32번길 14 2, 3층",경상북도 포항시 북구 양학로32번길 14 2,착한가격업소
good-price-1syux3q,서울왕족발치킨,경상북도 경주시 건천읍 작원1길 5 1,경상북도 경주시 건천읍 작원1길 5 1,착한가격업소
good-price-1jhtk3g,정은주헤어샵,경상북도 경주시 금성로 256 (노서동) 1,경상북도 경주시 금성로 256 1,착한가격업소
good-price-utow1e,일신세탁소,경상북도 안동시 경동로 721 (법흥동),경상북도 안동시 경동로 721,착한가격업소
good-price-1orp44s,치킨도령,경상북도 영주시 가흥로 345-2,경상북도 영주시 가흥로 345-2,착한가격업소
good-price-11fr3mk,나랏골밥상,경상북도 영덕군 영해면 예주5길 9-1,경상북도 영덕군 영해면 예주5길 9-1,착한가격업소
good-price-1cv6rq8,맑은물소리식당,경상북도 칠곡군 동명면 금암중앙길 71,경상북도 칠곡군 동명면 금암중앙길 71,착한가격업소
